year,variable,hour,n,mean_error,std_error,mae,rmse,min_error,max_error,p50,p75,p90,p95,p99
2015,load,16,365,-2946.540849315068,2523.1488216106386,3202.5444383561635,3876.975765945615,-12519.225,6978.419999999998,-2749.987500000003,-1440.6299999999974,-88.53050000000154,1002.9914999999984,2536.1142
2015,load,17,365,-3295.6269041095893,2540.896737724875,3481.6273835616444,4159.2817677583125,-12373.410000000003,4583.010000000002,-3212.6825000000026,-1595.8500000000058,-228.4334999999987,538.1389999999989,2331.1790999999967
2015,load,18,365,-3380.2878424657533,2512.2399856221014,3541.930184931507,4209.561054803095,-12111.3825,4015.722500000003,-3246.247499999983,-1655.3125,-344.3889999999984,421.71599999999904,1786.251200000003
2015,load,19,365,-3234.653369863013,2478.7440170090063,3429.422958904109,4073.1217729583987,-12422.554999999991,5608.1175,-3207.2874999999985,-1594.6050000000032,-245.2809999999992,787.4595000000012,1757.6764999999975
2015,load,20,365,-3263.2745753424656,2272.8572981083325,3392.9172465753422,3975.007944009069,-12439.03,5723.7049999999945,-3205.269999999997,-1885.0824999999968,-510.6985000000011,174.7399999999995,1458.6896999999994
2015,load,21,365,-3276.5157123287668,2179.376403827724,3378.7885068493147,3933.4747865779896,-11833.767499999994,4461.0274999999965,-3233.477500000008,-2035.0999999999983,-578.0625000000026,169.52750000000057,1061.7424000000026
2015,load,22,365,-3268.588232876712,2211.2730632444645,3374.7339452054794,3944.616721524069,-11622.0,2583.020000000004,-3230.7874999999985,-1879.7900000000009,-593.6514999999989,185.8679999999979,1193.4045999999973
2015,load,23,364,-3099.837252747253,2100.1865230469307,3219.9390796703296,3742.680441636398,-9692.050000000005,2675.074999999997,-3070.055000000004,-1735.1368749999965,-601.6537499999964,233.8461249999936,1476.9846999999993
2016,solar,0,366,-0.17346994535519125,0.07401694862181686,0.17346994535519125,0.1885612951320019,-0.3575,-0.045,-0.1675,-0.11062499999999997,-0.08,-0.07,-0.05574999999999989
2016,solar,1,366,-0.1850478142076503,0.08738856564887723,0.1850478142076503,0.20459371808751683,-0.41,-0.045,-0.1725,-0.11062499999999997,-0.0775,-0.065,-0.05749999999999997
2016,solar,2,366,-0.18274590163934423,0.08340346513698368,0.18274590163934423,0.20083126430242748,-0.4075,-0.055,-0.1725,-0.1125,-0.08,-0.07062500000000001,-0.055
2016,solar,3,366,-0.1876639344262295,0.08534924486965507,0.1876639344262295,0.20611245206482517,-0.4,-0.0475,-0.18625,-0.11,-0.08,-0.0675,-0.0525
2016,solar,4,366,0.12639344262295082,0.786395456034654,0.4579371584699453,0.7954265833208944,-0.555,3.629999999999999,-0.16999999999999996,-0.0775,1.25,1.9599999999999997,3.2762500000000108
2016,solar,5,366,9.169153005464482,18.460047974820913,9.517185792349727,20.589212303668134,-6.400000000000034,82.56250000000003,-0.1525,8.843124999999999,40.855000000000025,52.66249999999999,75.77275000000002
2016,solar,6,366,47.492554644808735,82.23644008824444,52.25767759562841,94.86778769320637,-221.0775,460.26750000000015,7.816249999999999,77.29750000000003,157.29000000000002,208.16062499999992,368.71600000000024
2016,solar,7,366,121.53396174863386,225.88755290189877,157.75387978142075,256.23480898641515,-911.475,1417.0175,56.50499999999995,200.68562499999985,402.7787500000002,555.47875,791.113125
2016,solar,8,366,166.9903961748634,501.0786899841306,368.0254781420765,527.5221658300323,-2082.7825,2578.745,135.3425000000002,414.323125,730.9824999999996,927.0706249999995,1414.034375000001
2016,solar,9,366,101.77030737704915,850.6348373199795,624.078599726776,855.5465086195388,-3477.665000000001,3664.6675,117.23000000000036,554.5137500000008,1082.553750000001,1409.6218750000007,1878.2346250000014
2016,solar,10,366,2.1461065573769855,1155.1599030435395,855.6489480874316,1153.5827326333156,-4498.652500000001,4338.215,48.76374999999939,643.2825,1363.3550000000005,1797.8475000000003,2666.191625000001
2016,solar,11,366,-6.659836065573731,1359.6349912760786,1016.036243169399,1357.792628966321,-5076.6925,4554.432500000001,54.60750000000098,709.8375000000012,1682.4724999999994,2271.39375,3272.540250000003
2016,solar,12,366,71.83303278688527,1419.8899143281294,1080.6736338797816,1419.7672055573742,-5329.710000000003,4428.2925,26.982500000000982,898.8668749999995,1990.8900000000008,2435.890625,3186.0856250000043
2016,solar,13,366,134.4413866120219,1357.5628235953673,1038.980662568306,1362.3567266505556,-5199.827500000001,3945.630000000001,164.0837500000007,927.2337499999992,1834.7649999999999,2358.7099999999978,3423.567625000002
2016,solar,14,366,101.40829918032789,1200.7843788933012,897.5739275956284,1203.4231160976365,-4963.25,4484.542500000001,134.4287500000005,710.6956249999998,1558.3349999999991,2003.4343749999991,3181.8163749999994
2016,solar,15,366,23.77939207650274,1026.6178633114635,741.9629849726776,1025.4901597256517,-4350.8225,4174.950000000001,85.69875000000047,538.8350000000005,1163.6375000000007,1665.754375,2672.733625
2016,solar,16,366,-79.93721994535511,807.7510858733199,546.8766461748634,810.5979850102942,-3439.1624999999985,3046.880000000001,14.653749999999999,260.7512499999996,808.9049999999997,1117.401875,1982.2660000000074
2016,solar,17,366,-125.35917349726773,586.6473862798002,372.24369535519116,599.1074724750367,-2632.4350000000004,1836.4224999999997,-0.1275,100.56875000000036,397.18375000000015,721.9306249999997,1524.1453749999996
2016,solar,18,366,-97.11850409836069,361.3230178259551,217.70454234972675,373.6704714692294,-1394.3824999999997,1241.9375000000005,-0.2,22.018125000000023,163.64750000000026,412.89874999999995,874.8613750000003
2016,solar,19,366,-18.168975409836072,150.0743823255178,80.8537431693989,150.96653769546688,-599.1800000000003,767.28,-0.19625,0.273125,91.24250000000006,216.5612499999999,461.7571250000002
