year,variable,month,n,mean_error,std_error,mae,rmse,min_error,max_error,p50,p75,p90,p95,p99
2023,wind_onshore,3,743,658.9810195154778,1797.0908526675187,1380.5697812920591,1912.967564030266,-4429.619999999999,9829.800000000005,437.415,1561.9937499999996,2846.583500000002,3786.9409999999993,6553.444600000015
2023,wind_onshore,4,720,15.215451388888889,1367.4125500261778,1037.4179791666668,1366.547336816643,-4888.5,3795.802499999998,91.40750000000116,823.4831250000001,1696.4090000000008,2222.79675,3045.923524999996
2023,wind_onshore,5,744,-194.64354166666664,1302.6698607327946,1017.1355443548389,1316.2651819669422,-4075.6,3656.0350000000017,-111.46000000000015,698.6293750000004,1376.819750000001,1764.8238750000007,2776.687325000003
2023,wind_onshore,6,720,-110.53028124999999,1099.2063141345552,760.5456493055555,1103.9897340225887,-5390.0825,3580.5650000000005,-8.577499999999873,523.6625000000001,947.4275000000009,1422.404374999998,2289.835024999991
2023,wind_onshore,7,744,259.3987903225807,1822.8123849690528,1169.4832392473118,1839.9638046795458,-4819.672500000001,13563.0575,98.45874999999955,866.9549999999992,2043.6722500000035,3176.6021250000035,6602.628400000053
2023,wind_onshore,8,744,103.59308131720425,1404.9694280380054,941.7534845430108,1407.8414244065484,-5200.469999999999,5774.942499999997,34.87249999999926,621.1281249999995,1492.3545000000004,2732.0866250000004,5104.302325000002
2023,wind_onshore,9,720,-171.3107083333333,1313.8815441541192,834.1002083333332,1324.0975995759638,-7299.149999999998,4611.805000000004,-37.71874999999977,418.34249999999946,964.2230000000006,1618.0246249999987,2796.7472249999896
2023,wind_onshore,10,745,-402.80090268456377,1719.5357444769807,1289.892144295302,1764.9597390346607,-6687.1175,4215.740000000002,-200.47250000000008,635.7425000000003,1591.488999999999,2208.503,3298.9801999999945
2023,wind_onshore,11,720,-394.05901041666675,1720.261485283798,1329.2130243055556,1763.653010980037,-7158.2775,4857.487500000001,-257.848750000001,631.3143750000015,1511.4915000000005,2183.0668750000004,4214.661474999997
2023,wind_onshore,12,743,157.1890948855988,1948.4906992716938,1450.49884589502,1953.5133913347897,-4483.477499999997,8156.135000000002,56.47999999999956,1119.1737499999986,2495.1700000000005,3497.6719999999996,6359.318750000009
2023,wind_offshore,1,744,100.60897849462366,866.3810810237916,653.3804233870968,871.6246046308678,-2342.3549999999996,2734.2924999999996,72.38625000000002,557.8087499999992,1217.2040000000002,1760.2174999999997,2375.801925
2023,wind_offshore,2,672,208.5717261904762,782.4385830537684,537.5379464285714,809.1979203067657,-2537.6525000000006,2874.5350000000003,73.79374999999987,476.15625,1410.35625,1868.72225,2391.5904999999993
2023,wind_offshore,3,743,-132.1267530282638,977.8127781781529,746.434969717362,986.0468922973585,-3192.8799999999997,3366.4850000000006,-89.15000000000009,385.6650000000002,1108.8205,1526.8414999999998,2405.739950000002
2023,wind_offshore,4,720,139.35567361111111,812.7112172675554,588.7148055555555,824.0158772693411,-3150.95,2758.0275,35.54374999999999,487.25312499999984,1243.6782500000004,1670.3997500000005,2317.921874999997
2023,wind_offshore,5,744,26.860826612903217,676.832861819905,479.5935887096774,676.9109966454004,-1932.0575000000003,3405.785,10.809999999999974,355.3462500000003,800.9917499999999,1260.0352500000004,1935.157525000002
2023,wind_offshore,6,720,-247.9758194444444,666.0953203577094,453.2717361111111,710.3229944724457,-3536.32,2882.6075,-130.62125,88.521875,257.7150000000002,414.09512499999795,1403.6586999999884
2023,wind_offshore,7,744,-85.26649865591396,682.5676010246002,515.4903696236559,687.4174118102816,-2495.49,2804.8325,-79.525,263.1700000000001,747.7697500000007,1013.9642500000001,1831.9022750000038
2023,wind_offshore,8,744,-46.00150873655914,545.2237596363431,371.3352788978495,546.7956947894683,-2083.2524999999996,2976.6050000000005,-46.1762499999999,163.198125,440.55675000000014,801.5351250000009,1939.9419000000016
2023,wind_offshore,9,720,-25.26843749999995,846.0007300842703,533.1702777777778,845.7905636273741,-2469.8625,2757.4375,-38.276250000000005,133.57062499999998,1048.4725000000003,1949.5708749999994,2521.1416249999984
2023,wind_offshore,10,745,-169.97520805369126,802.3113400101472,617.9071543624161,819.5919875990289,-2628.6775,2729.86,-144.99500000000012,231.9625000000001,837.3740000000001,1102.8164999999997,2127.297299999999
2023,wind_offshore,11,720,-46.22196527777777,849.0422160282734,630.1325,849.710505178322,-2786.4775000000004,4093.575,-125.00624999999991,349.8374999999999,922.2865,1456.213249999999,2587.0656249999984
2023,wind_offshore,12,743,-124.57287012113053,871.3830027504611,657.9523923283984,879.6617464357655,-2297.9575,3508.2025000000003,-165.07500000000073,247.2662499999999,932.8115000000016,1535.7409999999986,2609.9663500000042
